id,en,zh,info,info_zh
1242,Arisen Fey Macha Pillar,重生變異瑪查支柱,"Cursed staff of Macha, sister to Morrigan. It can grant one additional magic power while having the adverse effect on an opponent.",摩莉甘的姊妹-瑪查的詛咒法杖.提升持有者魔法攻擊力的同時對敵人造成相對的影響.
1243,Arisen Fey Crowsong,重生變異渡鴉葬歌,Cursed lute played by the sisters of Morrigan. It can grant one additional defenses while having the adverse effect on an opponent.,摩莉甘的姊妹們使用的詛咒魯特琴.提升物理防禦的同時也能對敵人造成相對的影響.
1244,Arisen Raven Boots,重生渡鴉長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1245,Arisen Fey Badb Catha,重生變異芭德布渡鴉,"Cursed greatbow of Badb, sister to Morrigan. It can grant one additional dexterity while having the adverse effect on an opponent.",摩莉甘的姊妹-芭德布的詛咒大弓.提升持有者的敏捷的同時能對敵人造成相對的影響.
1246,Arisen Raven Garb,重生渡鴉皮甲,"Cursed light armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒輕裝甲.
1247,Arisen Badb Catha,重生芭德布渡鴉,"Cursed greatbow of Badb, sister to Morrigan. It can grant one additional dexterity while having the adverse effect on an opponent.",摩莉甘的姊妹-芭德布的詛咒大弓.提升持有者的敏捷的同時能對敵人造成相對的影響.
1248,Arisen Banshee Robe,重生報喪女妖法袍,"Cursed robe of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒法袍.
1249,Arisen Banshee Boots,重生報喪女妖長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1250,Arisen Fey Raven Veil,重生變異渡鴉面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1251,Arisen Macha Pillar,重生瑪查支柱,"Cursed staff of Macha, sister to Morrigan. It can grant one additional magic power while having the adverse effect on an opponent.",摩莉甘的姊妹-瑪查的詛咒法杖.提升持有者魔法攻擊力的同時對敵人造成相對的影響.
1252,Arisen Banshee Veil,重生報喪女妖面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1253,Arisen Plagued Greaves,重生瘟疫護脛,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1254,Arisen Plagued Cuirass,重生瘟疫胸甲,"Cursed heavy armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒重裝甲.
1255,Arisen Fey Neman Havoc,重生變異妮潘凶禍,"Cursed greatsword of Neman, sister to Morrigan. It can grant one additional attack power while having the adverse effect on an opponent.",摩莉甘的姊妹-妮潘的詛咒長劍.提升持有者物理攻擊力的同時對敵人造成相對的影響.
1256,Arisen Raven Veil,重生渡鴉面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1257,Arisen Fey Plagued Cuirass,重生變異瘟疫胸甲,"Cursed heavy armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒重裝甲.
1258,Arisen Neman Havoc,重生妮潘凶禍,"Cursed greatsword of Neman, sister to Morrigan. It can grant one additional attack power while having the adverse effect on an opponent.",摩莉甘的姊妹-妮潘的詛咒長劍.提升持有者物理攻擊力的同時對敵人造成相對的影響.
1259,Arisen Crowsong,重生渡鴉葬歌,Cursed lute player by the sisters of Morrigan. It can grant one additional defenses while having the adverse effect on an opponent.,
1260,Arisen Fey Plagued Helmet,重生變異瘟疫頭盔,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1261,Arisen Fey Raven Boots,重生變異渡鴉長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1262,Arisen Fey Plagued Greaves,重生變異瘟疫護脛,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1263,Arisen Fey Raven Garb,重生變異渡鴉皮甲,"Cursed light armor of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒輕裝甲.
1264,Arisen Fey Banshee Veil,重生變異報喪女妖面罩,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1265,Arisen Fey Banshee Robe,重生變異報喪女妖法袍,"Cursed robe of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒法袍.
1266,Arisen Fey Banshee Boots,重生變異報喪女妖長靴,"Cursed legwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒腿甲.
1267,Badb Boots,芭德布長靴,"Cursed legwear of a follower of Badb, the great witch.",偉大女巫-芭德布的追隨者的詛咒腿甲.
1268,Badb Veil,芭德布面罩,"Cursed headwear of a follower of Badb, the great witch.",偉大女巫-芭德布的追隨者的詛咒頭帽.
1269,Badb Warbow,芭德布戰弓,"Cursed greatbow of Badb, sister to Morrigan. It can grant one additional dexterity while having the adverse effect on an opponent.",摩莉甘的姊妹-芭德布的詛咒大弓.提升持有者的敏捷的同時能對敵人造成相對的影響.
1270,Shaman's Charm,薩滿護符,An amulet carried by most talented of healers. Wearing this item will increase the effectiveness of healing items.,最天賦異稟的治療師在用的護身符.戴上它能提升回復藥品的效果.
1271,Badb's Feathers,芭德布之羽,"A quiver of arrows carried by Badb, the rogue witch. Carrying them will increase both attack power and dexterity, while potentially poisoning or causing an opponent to rot.","俠盜女巫-芭德布持有的箭筒.帶著它能提升物理攻擊力及敏捷,並有機會造成對手中毒或腐爛."
1272,Badb Garb,芭德布皮甲,"Cursed light armor of a follower of Badb, the great witch.",偉大女巫-芭德布的追隨者的詛咒輕裝甲.
1273,Arisen Realm Katar,重生域界卡塔拉,"A strange side-arm once carried by Apollyon until pilfered by Morrigan. It doesn't offer much in terms of power, but its indentations are well suited for adornments.",
1274,Macha Boots,瑪查長靴,"Cursed legwear of a follower of Macha, the great witch.",偉大女巫-瑪查的追隨者的詛咒腿甲.
1275,Macha's Scroll,瑪查之卷軸,"A scroll of Macha, offering secrets of her craft. It increases magic and mana, while protecting you from having your magical prowess weakened.","展現瑪查神秘工藝的卷軸.能提升魔法攻擊力及魔力值,並防止自身魔力被弱化."
1276,Macha Veil,瑪查面罩,"Cursed headwear of a follower of Macha, the great witch.",偉大女巫-瑪查的追隨者的詛咒頭帽.
1277,Fey Macha Veil,變異瑪查面罩,"Cursed headwear of a follower of Macha, the great witch.",偉大女巫-瑪查的追隨者的詛咒頭帽.
1278,Macha Warstaff,瑪查征杖,"Cursed staff of Macha, sister to Morrigan. It can grant one additional magic power while having the adverse effect on an opponent.",摩莉甘的姊妹-瑪查的詛咒法杖.提升持有者魔法攻擊力的同時對敵人造成相對的影響.
1279,Neman's Protection,妮潘的加護,"Cursed shield of a follower of Neman, the great witch. It offers protection from being put to sleep.",偉大女巫-妮潘的追隨者的詛咒之盾.能防止入睡.
1280,Fey Macha Warstaff,變異瑪查征杖,"Cursed staff of Macha, sister to Morrigan. It can grant one additional magic power while having the adverse effect on an opponent.",摩莉甘的姊妹-瑪查的詛咒法杖.提升持有者魔法攻擊力的同時對敵人造成相對的影響.
1281,Arisen Morrigan's Scroll,重生的摩莉甘卷軸,"A scroll containing knowledge of the most vile of arts. It improves one's magic and mana at the sacrifice of Ward, while adding a chance to greatly diminish an opponent's resistance to spells.","滿載卑鄙美學知識的卷軸.藉由犧牲護盾來提升持有者的魔力及魔力值,並有機會大幅降低對手的魔法防禦力."
1282,Neman Helmet,妮潘頭盔,"Cursed headwear of a follower of Neman, the great witch.",偉大女巫-妮潘的追隨者的詛咒頭帽.
1283,Neman Warsword,妮潘戰刃,"Cursed greatsword of Neman, sister to Morrigan. It can grant one additional attack power while having the adverse effect on an opponent.",摩莉甘的姊妹-妮潘的詛咒長劍.提升持有者物理攻擊力的同時對敵人造成相對的影響.
1284,Neman Cuirass,妮潘胸甲,"Cursed heavy armor of a follower of Neman, the great witch.",偉大女巫-妮潘的追隨者的詛咒重裝甲.
1285,Arisen Plagued Helmet,重生瘟疫頭盔,"Cursed headwear of a follower of Morrigan, the great witch.",偉大女巫-摩莉甘的追隨者的詛咒頭帽.
1286,Perfect Fishing Line,完美釣魚線,"A very strong fishing line, suitable for fetching aught from the seas. Use when near a body of water to begin fishing.",
1287,Fey Badb Warbow,變異芭德布戰弓,"Cursed greatbow of Badb, sister to Morrigan. It can grant one additional dexterity while having the adverse effect on an opponent.",摩莉甘的姊妹-芭德布的詛咒大弓.提升持有者的敏捷的同時能對敵人造成相對的影響.
1288,Fey Macha Robe,變異瑪查法袍,"Cursed robe of a follower of Macha, the great witch.",偉大女巫-瑪查的追隨者的詛咒法袍.
1289,Fey Macha Boots,變異瑪查長靴,"Cursed legwear of a follower of Macha, the great witch.",偉大女巫-瑪查的追隨者的詛咒腿甲.
1290,Fey Neman Helmet,變異妮潘頭盔,"Cursed headwear of a follower of Neman, the great witch.",偉大女巫-妮潘的追隨者的詛咒頭帽.
1291,Ashen Pinion,蒼白羽毛,A feather pulled from the remains of a fallen Phoenix.,從墮落鳳凰的遺骸取下的羽毛.
1292,Yellow Eye of Kerberos,黃褐色的刻耳柏洛斯之眼,Crystallized eye of the Kerberos. It grants a high chance to paralyze an opponent.,地獄犬的結晶之眼。很大機率使攻擊造成癱瘓狀態。
1293,Feral Hood,野性兜帽,A durable hood forged of the remains of the relentless Kerberos. It greatly increases the power of your follower.,刻耳柏洛斯代表性的耐用兜帽。它們大大提高了跟隨者的能力。
1294,Green Eye of Kerberos,翠綠色的刻耳柏洛斯之眼,Crystallized eye of the Kerberos. It grants a high chance to cause an opponent to rot.,刻耳柏洛斯的結晶之眼。很大機率使攻擊造成腐爛狀態。
1295,Blue Eye of Kerberos,碧藍色的刻耳柏洛斯之眼,Crystallized eye of the Kerberos. It grants a high chance to cause an opponent to freeze.,刻耳柏洛斯的結晶之眼。很大機率使攻擊造成冰凍狀態。
1296,Feral Claws,野性之爪,"Sharp, jagged blades forged of the mighty claws of Kerberos. They greatly increase the rate in which a follower may act in battle.",由刻耳柏洛斯的爪鍛造的尖銳鋸齒刀刃。它們大大提高了跟隨者的行動率。
1297,Feral Archistaff,野性權杖,"Mighty staff, representative of the feral Kerberos. It greatly increases the rate in which a follower may act in battle.",野性的刻耳柏洛斯最具代表性的法杖.能提升你的跟隨者的行動率.
1298,Feral Warsword,野性戰刃,"Mighty sword, representative of the relentless Kerberos. It greatly increases the rate in which a follower may act in battle.",刻耳柏洛斯代表性的劍。它們大大提高了跟隨者的行動率。
1299,Red Eye of Kerberos,血紅色的刻耳柏洛斯之眼,Crystallized eye of the Kerberos. It grants a high chance to cause an opponent to burn.,刻耳柏洛斯的結晶之眼。很大機率使攻擊造成燃燒狀態。
1300,Arisen Feral Claws,重生野性之爪,"Sharp, jagged blades forged of the mighty claws of Kerberos. They greatly increase the rate in which a follower may act in battle.",由刻耳柏洛斯的爪鍛造的尖銳鋸齒刀刃。它們大大提高了跟隨者的行動率。
1301,Arisen Feral Archistaff,重生野性權杖,"Mighty staff, representative of the feral Kerberos. It greatly increases the rate in which a follower may act in battle.",野性的刻耳柏洛斯最具代表性的法杖.能提升你的跟隨者的行動率.
1302,Arisen Feral Warsword,重生野性戰刃,"Mighty sword, representative of the relentless Kerberos. It greatly increases the rate in which a follower may act in battle.",刻耳柏洛斯代表性的劍。它們大大提高了跟隨者的行動率。
1303,Arisen Feral Hood,重生野性兜帽,A durable hood forged of the remains of the relentless Kerberos. It greatly increases the power of your follower.,刻耳柏洛斯代表性的耐用兜帽。它們大大提高了跟隨者的能力。
1304,Arisen Wolven Tower Shield,重生狼塔盾,A gigantic shield often used to protect one from the wildest of wolves. It offers additional defense at the expense of power.,保護持有者免受野狼群侵害的巨大盾牌，它會犧牲攻擊力以換取額外的物防。
1305,Fey Neman Cuirass,變異妮潘胸甲,"Cursed heavy armor of a follower of Neman, the great witch.",偉大女巫-妮潘的追隨者的詛咒重裝甲.
1306,Sour Mushroom,酸蘑菇,"A mushroom of Naggeneen's collection. Eating it will greaty increase one's attack and magic powers, but become afflicted with a variety of illnesses.",
1307,Smelly Mushroom,臭香菇,"A mushroom of Naggeneen's collection. Eating it will cause one to enrage, but become afflicted with Toxic.","納根因收藏的蘑菇.吃下去的人會被激怒,但也會受劇毒之苦."
1308,Arisen Vandal's Veil,重生汪達爾面罩,"A thick piece of fabric, often used to protect one's lungs. Wearing it makes one less likely to be afflicted with status effects.",常用於保護肺部的厚織物。戴上它可以減少遭受異常狀態的機會。
1309,Spore,孢子,A spore of a toxic mushroom. Adorning it upon a weapon can add a variety of status effects to your attacks.,擁有劇毒的蘑菇袍子，鑲嵌在武器上會使你的攻擊造成各種負面狀態。
1310,Arisen Fairy's Wand,重生妖精的棒棒,A curious wand carried by the foul Naggeneen. Spells cast with this wand may cause your opponent to become poisoned or blighted.,髒兮兮納根因的棒棒.使用它來施展法術能有機會造成對手中毒或枯萎.
1311,Arisen Fairy's Tanto,重生妖精的小刀,,
1312,Fairy's Tanto,妖精的小刀,An off-hand dagger carried by the foul Naggeneen. It is encased in a deadly poison.,髒兮兮納根因所持的短刀.能造成致命劇毒.
1313,Fairy's Wand,妖精的棒棒,A curious wand carried by the foul Naggeneen. Spells cast with this wand may cause your opponent to become poisoned or blighted.,髒兮兮納根因的棒棒.使用它來施展法術能有機會造成對手中毒或枯萎.
1314,Vandal's Veil,汪達爾面罩,"A thick piece of fabric, often used to protect one's lungs. Wearing it makes one less likely to be afflicted with status effects.",常用於保護肺部的厚織物。戴上它可以減少遭受異常狀態的機會。
1318,Waistguard of Cerus,凱魯斯的護腰,"Enchanted belt of Cerus, the untamed. It protects one from burning while granting additional HP.",桀驁金牛凱魯斯的附魔腰帶.能防止被燃燒並提升生命值.
1319,Greater Bull's Eye,巨大金牛之眼,A celestial adornment capable of increasing many attributes of a piece of equipment when adorned upon it.,鑲嵌此天堂的裝飾品可以為裝備增加許多性能。
1320,Furious Bull,狂怒公牛,"The powerful, fiery axe of Cerus, the untamed bull. It has a good chance of stunning or burning an opponent.",桀驁金牛凱魯斯的勇猛斧頭.有高機率暈眩或燃燒對手.
1321,Ferocious Bull's Eye,兇殘金牛之眼,A celestial adornment capable of increasing many attributes of a piece of equipment when adorned upon it.,鑲嵌此天堂的裝飾品可以為裝備增加許多性能。
1322,Stardust,星塵,A celestial adornment capable of increasing many attributes of a piece of equipment when adorned upon it.,鑲嵌此天堂的裝飾品可以為裝備增加許多性能。
1323,Furious Helmet,狂怒頭盔,"Helmet of Cerus, the raging bull. It reduces mana cost of skills or spells and is well suited for adornment.",
1324,Furious Bull's Eye,狂怒金牛之眼,A celestial adornment capable of increasing many attributes of a piece of equipment when adorned upon it.,鑲嵌此天堂的裝飾品可以為裝備增加許多性能。
1325,Furious Cuirass,狂怒胸甲,"Armor of Cerus, the raging bull. It reduces the mana cost of skills or spells and is well suited for adornment.",暴怒金牛凱魯斯的鎧甲. 能減少技能和魔法的魔力消耗並且很適合鑲嵌裝飾.
1326,Ferocious Bull,兇殘的公牛,"The powerful, fiery staff of Cerus, the untamed bull.",桀驁金牛凱魯斯的強力法杖.
1327,Ferocious Hood,兇殘的兜帽,"Hood of Cerus, the untamed. It reduces the mana cost of skills or spells and is well suited for adornment.",桀驁金牛凱魯斯的兜帽. 能減少技能和魔法的魔力消耗並且很適合鑲嵌裝飾.
1328,Symbol of Famine,飢荒象徵,Adornment of the First Horseman. Adorning upon a piece of armor will slightly protect one from status ailments.,
1329,Symbol of Doom,厄運象徵,Adornment of the Final Horseman. Adorning it upon a weapon will increase the action rate and stats of your follower.,最終騎士的裝飾品，鑲嵌它在武器上可以提升跟隨者的行動率及屬性。
1330,Symbol of Pestilence,瘟疫象徵,Adornment of the Second Horseman. Adorning it upon a piece of armor will moderately protect one from status ailments.,第二騎士的裝飾品，鑲嵌它在盔甲上可以適度保護穿戴者免受疾病影響。
1331,Symbol of War,戰爭象徵,Adornment of the Third Horseman. Adorning upon a weapon will increase the distance that you can see.,
1332,Realmspikes,域界荊棘,Daggers carried by the Realmshifter. They have the increased chance of causing a critical hit.,域界易形者所持有的匕首，它可以增加暴擊的機率。
1333,Axe of Gilgamesh,吉爾伽美什之斧,Heavy axe of the Gilgamesh.,吉爾伽美什重斧。
1334,Heretic's Robe,赫勒提克法袍,"A decorated robe often worn by the Heretics. It grants additionally magic power, but spells cast will consume more mana.",
1335,Beowulf's Charm,貝奧武夫護符,"Amulet often carried by the Beowulf. Wearing this item greatly increases the power of your follower, may cause them to act less often.",
1336,Bestial Eye,兇殘之眼,Red eye of the Behemoth. Adorning it upon a weapon will increase the action rate and stats of your follower.,貝西摩斯的紅色眼球，鑲嵌它在武器上可以增加跟隨者的行動機率及屬性。
1337,Castor's Archistaff,卡斯托耳的權杖,"Azure staff of Castor, the Dioscuri magician. Castor and his twin brother seldomly leave the depths of the seas unless truly lacking other hobbies.",
1338,Azure Twinbow,蔚藍雙子弓,The Twinbow of a fused Dioscuri. It grants additional offensive power to those that prefer a more hybrid approach to combat.,融合的狄奧斯庫洛伊兄弟持有的雙子弓，它對於喜歡在戰鬥中使用混合方法作戰的人提供額外的攻擊力。
1339,Pollux's Greataxe,波魯克斯的大斧,"Azure greataxe of Pollux, the Dioscuri berserker. Pollux and his twin brother seldomly leave the depths of the seas unless truly lacking in other hobbies.",狂戰士波魯克斯的大斧.波魯克斯和其雙子兄長除非閒到不行才會離開那深海.
1340,Azure Dioscuri Ring,蔚藍狄奧斯庫洛伊之戒,The ring of a fused Dioscuri. It grants additional offensive power to those that prefer a more hybrid approach to combat.,融合的狄奧斯庫洛伊兄弟持有的戒指，它對於喜歡在戰鬥中使用混合方法作戰的人提供額外的攻擊力。
1341,Spoiled Dioscuri Mead,臭酸的狄奧斯庫洛伊蜂蜜酒,Consume with caution.,古靈精怪槍!謹慎使用。
1342,Nostrum,靈藥,Some say the Cure-all is a bit of snake oil. This concoction aims to cure its drinker of many ailments.,有人說百寶丹是由一點蛇油所製成，這個調和劑用來治療各種疾病。
1343,Ichor,伊喬爾,A restorative elixir that removes any stat lowering ailments against you.,能移除任何降低屬性之異常狀態的恢復性秘藥。
1344,Arisen Colada,重生科拉達,"A greatsword often used in offensive swordplay by the almighty knight, Balin. Strikes of the sword have the ability to lower an opponent's physical or magical prowess.",全能的騎士巴林用來施展攻擊劍術的大劍.他的斬擊能降低對手的物理或魔法攻擊力.
1345,Finesse's Shotel,芬尼斯的短刀,The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This crooked shotel is one of them.,劍術大師芬尼斯因身上背著無數的劍而聞名.這把彎刀正是其中之一.
1346,Finesse's Katana,芬尼斯的武士刀,"The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This katana is his favorite, and can easily weaken an opponent.","劍術大師芬尼斯因身上背著無數的劍而聞名.這把武士刀正是他的最愛,能輕易弱化對手."
1347,Arisen Avalon Armor,重生阿瓦隆盔甲,Heavy armor of prestigious Avalon knights.,德高望重的阿瓦隆騎士的重裝甲.
1348,Arisen Avalon Helmet,重生阿瓦隆頭盔,Heavy armor of prestigious Avalon knights.,德高望重的阿瓦隆騎士的重裝甲.
1349,Arisen Avalon Leggings,重生阿瓦隆腿甲,Heavy armor of prestigious Avalon knights.,德高望重的阿瓦隆騎士的重裝甲.
1350,Arisen Arch-Gadget,重生新版小發明,"One of the concoctions of Cade, the great inventor. This gadget prevents one from having their physical or magical defense lowered.",偉大發明家卡德的發明之一.這小東西能防止物理或魔法防禦被降低.
1351,Arisen Arch-Gizmo,重生新版小玩意,"One of the concoctions of Cade, the great inventor. This gizmo prevents one from having their dexterity, physical or magical prowess lowered.","偉大發明家卡德的發明之一.這小東西能防止敏捷,物理或魔法攻擊被降低."
1352,Arisen Contraption,重生新玩意兒,"A small, strange thing made by Cade, the great inventor. It can provide all sorts of benefits to a piece of armor when adorned upon it.",偉大發明家卡德所做的奇妙小物.鑲嵌到裝甲上能有很多好處.
1353,Finesse's Greatsword,芬尼斯的巨劍,The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This greatsword is one of them.,劍術大師芬尼斯因身上背著無數的劍而聞名.這把大劍正是其中之一.
1354,Arisen Tizona,重生提佐納,"A greatsword often used in defensive swordplay by the almighty knight, Balin. Strikes of the sword have the ability to lower an opponent's physical or magical defenses.",全能的騎士巴林用來施展防衛劍術的大劍.他的斬擊能降低對手的物理或魔法防禦力.
1355,Arisen Genius,重生吉尼爾斯,"The easily recognizable pole-arm of Cade, the great Avalonian inventor. Its hidden features can cause a variety of status effects.",偉大的阿瓦隆發明家卡德廣為人知的長武器.能造成多種異常狀態.
1356,Finesse's Enchanted Epee,芬尼斯的迷人巨劍,The blademaster Finesse is known for carrying an inhuman amount of swords upon his back. This epee is one of them.,劍術大師芬尼斯因身上背著無數的劍而聞名.這把西洋劍正是其中之一.
1359,Seeker's Candle,探索者的蠟燭,"When lit, this candle is said to draw near monsters that you have accepted a quest for.",點燃此蠟燭會吸引任務怪靠近。
1360,Arisen Qatvanga,重生的夸特班加,"Archistaff of Mammon, the demon of hubris.",傲慢的惡魔瑪門的權杖.
1361,Huge Empty Bottle,巨型空瓶,"A large bottle suitable for holding a brewed potion, tonic, or elixir. Visit a herbalist to fill this bottle.",適合用來裝釀造的藥劑、藥水或秘藥的大瓶子。拜訪藥劑師能裝滿它。
1362,Super Empty Bottle,高級空瓶,"A large bottle suitable for holding a brewed potion, tonic, or elixir. Visit a herbalist to fill this bottle.",適合用來裝釀造的藥劑、藥水或秘藥的大瓶子。拜訪藥劑師能裝滿它。
1363,Great Empty Bottle,上級空瓶,"A large bottle suitable for holding a brewed potion, tonic, or elixir. Visit a herbalist to fill this bottle.",適合用來裝釀造的藥劑、藥水或秘藥的大瓶子。拜訪藥劑師能裝滿它。
1364,Large Empty Bottle,大空瓶,"A large bottle suitable for holding a brewed potion, tonic, or elixir. Visit a herbalist to fill this bottle.",適合用來裝釀造的藥劑、藥水或秘藥的大瓶子。拜訪藥劑師能裝滿它。
1365,Small Empty Bottle,小空瓶,"A small bottle suitable for holding a brewed potion, tonic, or elixir. Visit a herbalist to fill this bottle.",適合用來裝釀造的藥劑、藥水或秘藥的小瓶子。拜訪藥劑師能裝滿它。
1366,Silphium,羅盤草,A sprig of silphium. It is useful in crafting some potions at a herbalist.,羅盤草的嫩枝。能在藥劑師處用來調製藥水。
1367,Nightshade,夜影,A stalk of nightshade. It is useful in crafting some potions at a herbalist.,夜影的梗。在藥劑師處能用來製作藥水。
1368,Mandrake,曼德拉草,A single leaf of mandrake. It is useful in crafting some potions at a herbalist.,曼德拉草的葉子。在藥劑師處能用來調製藥水。
1369,Dayleaf,日之葉,A stalk of dayleaf. It is useful in crafting some potions at a herbalist.,日之葉的梗，可以在藥劑師那裡製作一些藥水。
1370,Qatvanga,夸特班加,"Archistaff of Mammon, the demon of hubris.",傲慢的惡魔瑪門的權杖.
1371,Cracked Mirror,破裂的鏡子,"A mirrored shield. At the sacrifice of Ward, one should have been able to reflect on themselves and gain mana. But alas, it is cracked.","鏡面盾牌.藉由犧牲護盾,能反映自己並獲得法力值.阿不過它是破的."
1372,Arisen Askr Boots,重生阿斯克鞋,"Boot of Yggdrasil, the fallen symbol of life.  Wearing them will keep one from becoming stunned.",
1373,Arisen Askr Cowl,重生阿斯克風帽,"Cowl of Yggdrasil, the fallen symbol of life.  Wearing it may decrease the damage you may inflict upon yourself.",
1374,Arisen Askr Garb,重生阿斯克皮甲,"Garb of Yggdrasil, the fallen symbol of life.  Wearing it may occasionally greatly increase one's power.",
1375,Arisen Askr Leggings,重生阿斯克腿甲,"Heavy leggings of Yggdrasil, the fallen symbol of life.  Wearing them will keep one from becoming stunned.",
1376,Arisen Embla Hood,重生安布拉兜帽,"Hood of Yggdrasil, the fallen symbol of life.  Wearing it may decrease the damage you may inflict upon yourself.",
1377,Arisen Embla Robe,重生安布拉法袍,"Robe of Yggdrasil, the fallen symbol of life.  Wearing it may occasionally greatly increase one's power.",
1378,Arisen Embla Shoes,重生安布拉鞋,"Robe of Yggdrasil, the fallen symbol of life.  Wearing them will keep one from becoming stunned.",
1379,Arisen Askr Armor,重生阿斯克盔甲,"Heavy of Yggdrasil, the fallen symbol of life.  Wearing it may occasionally greatly increase one's power.",
1380,Arisen Askr Helmet,重生阿斯克頭盔,"Helmet of Yggdrasil, the fallen symbol of life.  Wearing it may decrease the damage you may inflict upon yourself.",
1381,Arisen Hel's Feathers,重生赫爾的羽毛,"Poison tipped arrows of Hel, the shadowed rogue. The quiver offers addition slots for adornment and may protect one via ward.",
1382,Hel's Feathers,赫爾的羽毛,"Poison tipped arrows of Hel, the shadowed rogue. The quiver offers addition slots for adornment and may protect one via ward.",
1383,Helhest,海斯特,The mighty bow of Hel. Its loosened arrows will light your path while exploring the world.,
1384,Arisen Helhest,重生海斯特,The mighty bow of Hel. Its loosened arrows will light your path while exploring the world.,
1385,Arisen Hel's Garb,重生赫爾皮甲,"Light armor of Hel, the shadowed rogue. It grants its weather addition dexterity and status immunities. Additionally, it is well suited for adornment.",
1386,Hel's Boots,赫爾之靴,"Footwear of Hel, the shadowed rogue. They grant their wearer additional dexterity and are well suited for adornment.",暗影俠盜赫爾的鞋子。穿戴它可以給予額外的敏捷並且適合鑲嵌。
1387,Arisen Hel's Boots,重生赫爾之靴,"Footwear of Hel, the shadowed rogue. They grant their wearer additional dexterity and are well suited for adornment.",暗影俠盜赫爾的鞋子。穿戴它可以給予額外的敏捷並且適合鑲嵌。
1388,Hel's Veil,赫爾面罩,"Headwear of Hel, the shadowed rogue. Wearing it may increase one's chance of landing a critical attack.",暗影俠盜赫爾的頭飾。穿戴它可能會增加爆擊率。
1389,Hel's Garb,赫爾皮甲,"Light armor of Hel, the shadowed rogue. It grants its weather addition dexterity and status immunities. Additionally, it is well suited for adornment.",
1390,Arisen Hel's Veil,重生赫爾面罩,"Headwear of Hel, the shadowed rogue. Wearing it may increase one's chance of landing a critical attack.",暗影俠盜赫爾的頭飾。穿戴它可能會增加爆擊率。
1391,Embla Shoes,安布拉鞋,,
1392,Embla Hood,安布拉兜帽,"Hood of Yggdrasil, the fallen symbol of life.  Wearing it may decrease the damage you may inflict upon yourself.",
1393,Askr Garb,阿斯克皮甲,"Garb of Yggdrasil, the fallen symbol of life.  Wearing it may occasionally greatly increase one's power.",
1394,Askr Helmet,阿斯克頭盔,"Helmet of Yggdrasil, the fallen symbol of life.  Wearing it may decrease the damage you may inflict upon yourself.",
1395,Spellsword's Ring,魔劍士之戒,A strange magical ring. Those who are not trained in magical arts can equip this ring to sacrifice physical strength for magic power.,適合菜雞的奇特魔戒，它會犧牲物攻以換取魔攻。
1396,Arisen King's Sceptre,重生王者之權杖,"The old staff of forgotten King Meliodas. Meliodas claimed rule after Gradlon had fallen, but many outright deny his kingship.",被遺忘的王梅里歐達斯的老舊法杖。在格拉德隆王墮落之後，梅里歐達斯宣告了他的王權，但許多人徹底反對。
1397,False King's Sceptre,偽王之權杖,"The old staff of forgotten King Meliodas. Meliodas claimed rule after Gradlon had fallen, but many outright deny his kingship.",被遺忘的王梅里歐達斯的老舊法杖。在格拉德隆王墮落之後，梅里歐達斯宣告了他的王權，但許多人徹底反對。
1398,False King's Crown,偽王之冠,"The broken crown of forgotten King Meliodas. Meliodas claimed rule after Gradlon had fallen, but many outright deny his kingship. Its dents and cracks make it well suited for adornment.",被遺忘的王梅里歐達斯的破碎王冠。在格拉德隆王墮落之後，梅里歐達斯宣告了他的王權，但許多人徹底反對。王冠上的裂痕跟坑洞使其很適合鑲嵌裝飾。
